Item,Part Changed,Options,Part1,Part2
,,Mixed,10,0
2eee Plant Partition,The Body Color,Black,4,0
,,Brick,8,0
,,Wood grain,0c,0
2eef Ramen,The Menu,Tonkotsu,4,0
,,Tantan men,8,0
2ef0 Tart,The Flavor,Apple,4,0
,,Choco,8,0
,,Lemon,0c,0
,,Berry,10,0
,,Matcha,14,0
2ef1 Fancy Tea Set,The Body Color,Pink,4,0
,,Green,8,0
,,Blue,0c,0
2ef6 Tractor,The Body Color,Blue,4,0
,,Green,8,0
,,Black,0c,0
2eff Stack Of Books,The Collection,Eastern Script,4,0
,,Manga,8,0
2f0e Futon Mattress,The Pattern,Flowers,4,0
,,Green Striped,8,0
,,Chrysanthemums,0c,0
,,Checkered,10,0
,,Clothes,0,8
2f0f Zen Tea Set,The Tea Snack,Strawberry rice cake,4,0
,,Steamed Bun,8,0
,,Cherry Blossom mochi,0c,0
,,Mugwort mochi,10,0
2f10 Trellis,The Flower Color,Pink,4,0
,,Purple,8,0
2f11 Boston Bag,The Body Color,Black,4,0
,,Red,8,0
,,Green,0c,0
,,Camel Colored,10,0
2f12 Kick Scooter,The Body Color,Yellow,4,0
,,Red,8,0
,,Green,0c,0
,,Black,10,0
2f13 Lunch Box,The Menu,Zen,4,0
,,Heart,8,0
,,Sunburst,0c,0
2f14 Milk Carton,The Drink,Coffee Milk,4,0
,,Orange Juice,8,0
,,Vegetable Juice,0c,0
,,Tomato Juice,10,0
2f15 Bistro Table,The Parasol Color,Green,0,1
,,Red,0,2
,,Blue,0,3
,,Black,0,4
,,Clothes,0,8
2f16 Plastic Canister,The Body Color,Blue,4,0
,,White,8,0
2f22 Changing Room,The Coloring,Black,4,0
,,Pink,8,0
,,Sky blue,0c,0
,,Wood and White,10,0
,,Wood and Yellow,14,0
2f2b Exercise Ball,The Ball Color,Blue,4,0
,,White,8,0
2f2c Table With Cloth,The Tablecloth,Red,0,1
,,Green,0,2
,,Lace,0,3
,,Clothes,0,8
2f2d Dinnerware,The Usage,After Use,4,0
2f2e Drafting Table,The Diagram,Machine,4,0
,,Airplane,8,0
2f2f Hanger Rack,The Clothing,Men's,4,0
2f30 Pastel Low Table,The Countertop Color,Yellow,4,0
,,Green,8,0
,,Aqua,0c,0
2f31 Fish On A Board,The Fish,Blue Fish,4,0
,,Red Fish,8,0
2f32 Menu Chalkboard,The Presentation,Illustration,4,0
,,Cute,4,0
,,Photo,0c,0
2f33 Wooden Counter,The Body Color,Brown,4,0
,,Gray,8,0
,,White,0c,0
,The Display,Dots,0,1
,,Clothes,0,8
2f34 Unicycle,The Body Color,Blue,4,0
,,Yellow,8,0
2f38 Metal Flagpole,The Flag,Village daruma,0,1
,,Clothes,0,8
2f3a Bowl Sink,The Shelf Color,Dark Wood,4,0
,,Gray,8,0
2f3b Ball,The Type,Soccer ball,4,0
,,Volleyball,8,0
,,Dodgeball,0c,0
2f3d Cypress Plant,The Leaf Color,Deep Green,4,0
2f3e Flower Display Case,The Body Color,Black,4,0
,,White,8,0
,,Red,0c,0
2f44 Garden Chair,The Body Color,Yellow,4,0
,,Green,8,0
,,Blue,0c,0
,,Red,10,0
,,Orange,14,0
2f49 Darden Table,The Body Color,Yellow,4,0
,,Green,8,0
,,Blue,0c,0
,,Red,10,0
,,Orange,14,0
2f4a Do Not Enter Sign,The Type,No Entry,4,0
,,No Parking,8,0
,,No U Turns 0c,0,0
,,Direction indication,10,0
,,Bicycles Only,14,0
,,Pedestrians only,18,0
2f50 Trash Bags,The Bag Color,Black,4,0
,,Blue,8,0
2f51 Lecture Hall Bench,The Body Color,White,4,0
2f52 Lecture Hall Desk,The Body Color,White,4,0
2f53 Meeting Room Table,The Countertop Color,Wood Grain,4,0
2f5d Office Clock,The Border Color,Black,4,0
,,Silver,8,0
2f5e Flower Wreath,The Flower Color,Blue,4,0
,,Orange,8,0
,,Pink,0c,0
2f60 Meeting Room Chair,The Chair Color,Green,4,0
,,Red,8,0
,,Gray,0c,0
2f62 Beauty Salon Cart,The Wagon Color,Black,4,0
2f63 Money Box,The Body Color,Red,4,0
,,Green,8,0
,,White,0c,0
,,Gray,10,0
2f66 Merchandise Table,The Body Color,Pink,4,0
,,Blue,8,0
,,Black,0c,0
,,Red and white,10,0
2f68 Tennis Racket,The Body Color,Blue,4,0
,,Yellow,8,0
,,Green,0c,0
,,Purple,10,0
,,Pink,14,0
,,Sky blue,18,0
2f69 Cash Tray,The Body Color,Wood Grain 04,0,0
,,Plastic,8,0
,,Black pleather,0c,0
2f6e Lectern With Mic,The Body Color,Brown,4,0
,,Black,8,0
2f6f Gift Pile,The Wrapping,Toy Day,4,0
,,Pastel,8,0
2f70 Zen Backpack,The Body Color,Black,4,0
,,Yellow,8,0
,,Pink,0c,0
,,Aqua,10,0
,,Covered Red,14,0
,,Covered Black,18,0
2f71 Fancy Display Case,The Body Color,Black,4,0
,,White,8,0
,,Beige,0c,0
,,Red,10,0
,,Green,14,0
2f72 Popcorn,The Menu,Caramel,4,0
,,Chocolate,8,0
,,Berry,0c,0
2f73 Counter Seat,The Body Color,Yellow,4,0
,,Brown,8,0
,,Green,0c,0
,,Blue,10,0
,,Purple,14,0
,,White,18,0
,,Black,1c,0
2f74 Zen Chair,The Chair Color,Dark Wood,4,0
,,Black,8,0
,The Cushion Color,Mustard,0,1
,,Young grass,0,2
,,Lapis lazuli,0,3
,,Clothes,0,8
2f75 Glass Screen,The Body Color,Dark Wood,4,0
,,Beige,8,0
2f76 Busing Station,The Body Color,Dark Wood,4,0
,,Black,8,0
,,White,0c,0
2f77 Round Cloth Table,The Top Cloth,Red,4,0
,,Blue,8,0
,,Green,0c,0
,,Yellow,10,0
,,Purple,14,0
,,Black,18,0
,,Brown,1c,0
,The Cloth Underneath,Red,0,1
,,Sky blue,0,2
,,Green,0,3
,,Purple,0,4
,,White,0,5
,,Clothes,0,8
2f78 Waiting Room Bench,The Chair Color,Sky Blue,4,0
,,Pink,8,0
,,White,0c,0
,,Brown,10,0
,,Black,14,0
2f79 Square Minitable,The Countertop Color,Orange wood,4,0
,,Dark wood,8,0
,,White,0c,0
,,Black,10,0
2f7a Metal Rim Table,The Countertop Color,Yellow,4,0
,,Green,8,0
,,Blue,0c,0
,,Orange,10,0
,,White,14,0
,,Black,18,0
2f7e Iron Garden Chair,The Body Color,Black,4,0
,,White,8,0
2f7f Iron Garden Table,The Body Color,Black,4,0
,,White,8,0
2f80 Kiddie Meal,The Menu,Lunch Combo B,4,0
,,Lunch Combo C,8,0
2f82 Billboard,The Board Color,Blue,4,0
,,Beige,8,0
,The Poster,Sports,0,1
,,Concert,0,2
,,Clothes,0,8
2f83 Water Pot,The Body Color,Yellow,4,0
,,Green,8,0
,,Blue,0c,0
,,Brown,10,0
,,Black,14,0
2f84 Stack Of Clothes,The Bottom Clothing,Blue Green shirts,4,0
,,White shirts,8,0
,,Black shirts,0c,0
,The Clothing on Top,Blue shirt,0,1
,,White shirt,0,2
,,Black shirt,0,3
,,Clothes,0,8
2f90 Drink Machine,The Body Color,Blue,4,0
,,White,8,0
2f91 Snare Drum,The Shell Color,Black,4,0
,,Orange,8,0
,,White,0c,0
2f92 Wii U Console,The Coloring,Black,4,0
2f93 Document Stack,The Type of Documents,Writing Paper,0,1
,,Exam Paper,0,2
,,Clothes,0,8
2f94 Imperial Chair,The Body Color,Red,4,0
2f95 Fruit Drink,The Menu,Green Apple Soda,4,0
,,Iced coffee,8,0
,,Iced tea,0c,0
,,Milk,10,0
2f96 Shaved Ice,The Menu,Strawberry,4,0
,,Blue raspberry,8,0
,,Lemon,0c,0
,,Sweet Bean green tea,10,0
2f97 Theater Seat,The Chair Color,Blue,4,0
,,Navy,8,0
,,Gray,0c,0
,,Yellow,10,0
,,Green,14,0
,,Beige,18,0
2f98 Garbage Bin,The Body Color,Blue,4,0
,,Green,8,0
2f99 Slipper Rack,The Slippers,Earth tones,4,0
,,Flower,8,0
,,Vinyl,0c,0
2f9a Teppanyaki Grill,The Menu,Okonomiyaki,4,0
,,Takoyaki,8,0
,,Taiyaki,0c,0
2f9b Red Cash Register,The Body Color,Blue,4,0
,,Orange,8,0
,,Green,0c,0
,,Gray,10,0
2f9d Handbag,The Body Color,Yellow,4,0
,,Emerald,8,0
,,Vermilion,0c,0
,,White,10,0
,,Black,14,0
,,Zebra print,18,0
,,Leopard print,1c,0
2fa5 Sushi Menu,The Menu Border,Aluminum frame,4,0
,,Red frame,8,0
2fa6 Electric Bass,The Body Color,Fire red,0,1
,,Sky blue,0,2
,,Lemon yellow,0,3
,,Coral pink,0,4
,,Pure white,0,5
,,Cosmo black,0,6
,,Emerald green,0,7
,,Clothes,0,8
2fa7 Cafeteria Table,The Countertop Color,Red,4,0
,,White,8,0
2fa8 Serving Cart,The Body Color,Yellow Silver,4,0
,,Silver,8,0
2fa9 Reception Counter,The Body Color,Pink,4,0
,,Blue,8,0
,,Brown,0c,0
,,Navy,10,0
,,Marble,14,0
2faa Outdoor Sign,The Signboard,Blue signboard,0,1
,,Clothes,0,8
2fab Stacked Magazines,The Front Cover,Sports,0,1
,,Music,0,2
,,Cuisine,0,3
,,Character,0,4
,,Clothes,0,8
2fac Narrow Clock,The Body Color,Green,4,0
,,Blue,8,0
,,Orange,0c,0
,,Purple,10,0
,,Black,14,0
2fad Pen Case chair,The Body Color,Striped blue,4,0
,,Gingham checkered,8,0
,,Green,0c,0
,,Yellow,10,0
,,Dotted Blue,14,0
2fae Wood Display Stand,The Body Color,Light blue,4,0
,,White,8,0
2faf Casual Display Stand,The Body Color,Wood And Black tile,4,0
,,Black And White tile,8,0
,,White And Black tile,0c,0
2fb0 Fancy Display Stand,The Body Color,Black,4,0
,,White,8,0
2fb1 Basic Display Stand,The Body Color,Black,4,0
,,Orange,8,0
,,Pink,0c,0
,,Green,10,0
,,Blue,14,0
2fb2 Store Shelf,The Body Color,Black,4,0
,,Wood,8,0
,,Pink,0c,0
2fb3 Floor Light,The Light Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2fb4 Brown Seat,The Body Color,Dark brown,4,0
,,Beige,8,0
,,Brown checkered,0c,0
,,Beige checkered,10,0
2fb5 Lunch Pack,The Box Color,Pink,4,0
,,Blue,8,0
,,White,0c,0
2fb6 Set Lunch,The Menu,Fried Fish meal,4,0
,,Fried Egg meal,8,0
2fb7 Skateboard Rack,The Board Type,Graphic,4,0
,,Wood,8,0
,,Cute,0c,0
2fb8 White Office Desk,The Body Color,Black,4,0
,,White and Black,8,0
2fb9 Basic Trash Can,The Body Color,Dark wood,4,0
,,Silver,8,0
,,Black,0c,0
,,Blue,10,0
,,Red,14,0
2fba Salon Chair,The Cushion Color,Brown,4,0
,,Red,8,0
,,Black,0c,0
,,Beige,10,0
,,Green,14,0
2fbb Daimyo's tray,The Countertop Color,Gold leaf,4,0
,,Cloud pattern,8,0
2fbc Single Rose,The Rose Color,Yellow,4,0
,,Blue,8,0
,,White,0c,0
,,Purple,10,0
2fbd Mug,The Beverage,Hot Chocolate,4,0
,,Latte art,8,0
,,Soup,0c,0
,The Mug Design,Flowers,0,1
,,Checkered,0,2
,,Colorful mosaic,0,3
,,Clothes,0,8
2fbe Record Box,The Box,Cabinet,0,1
,,Clothes,0,8
2fbf Cruiser Bike,The Body Color,Yellow,4,0
,,Blue,8,0
,,Brown,0c,0
,,Black,10,0
,,Pink,14,0
2fca Electric Sign,The Signboard,Pink signboard,0,1
,,Clothes,0,8
2fcb Round Electric Sign,The Signboard,Green signboard,0,1
,,Clothes,0,8
2fcc Desk Mirror,The Base Color,Red,4,0
,,Pink,8,0
,,Blue,0c,0
,,White,10,0
,,Black,14,0
2fcd Locker Stack,The Color,Blue,4,0
,,Green,8,0
,,Red,0c,0
,,Stickered white,10,0
,,Stickered blue,14,0
,,Stickered green,18,0
,,Stickered red,1c,0
2fce Garden Faucet,The Body Color,Wood grain,4,0
,,White,8,0
2fcf Barrel Planter,The Barrel Color,Dark,4,0
,,White,8,0
,,Blue,0c,0
2fd2 Natural Bench,The Sofa Color,Banana yellow,4,0
,,Surly green,8,0
,,Off White,0c,0
,,Turquoise,10,0
,,Goose gray,14,0
2fd3 Natural Chair,The Sofa Color,Banana yellow,4,0
,,Surly green,8,0
,,Off White,0c,0
,,Turquoise,10,0
,,Goose gray,14,0
2fd4 Natural Table,The Body Color,Natural brown,4,0
,,Light brown,8,0
2fd5 Natural Low Table,The Body Color,Natural brown,4,0
,,Light brown,8,0
2fd6 Natural Lamp,The Shade Color,Banana yellow,4,0
,,Surly green,8,0
,,Off White,0c,0
,,Turquoise,10,0
,,Goose Gray,14,0
2fd7 Elegant Chair,The Body Color,White,4,0
,,Green and gray,8,0
,,Black,0c,0
2fd8 Elegant Bench,The Body Color,White,4,0
,,Green and gray,8,0
,,Black,0c,0
2fd9 Compact Car,The Theme Color,Pink,4,0
,,Light Blue,8,0
,,Light Green,0c,0
,,Black,10,0
2fda Sports Car,The Theme Color,Blue,4,0
,,Yellow,8,0
,,White,0c,0
,,Navy,10,0
2fdc Pasta,The Menu,Carbonara,4,0
,,Peperoncino,8,0
,,Cod roe,0c,0
,,Pesto genovese,10,0
,,Squid Ink,14,0
2fe0 Ivy Partition,The Body Color,Dark brown,4,0
,,Turquoise,8,0
2fe1 Cup Of Tea,The Menu,Mint tea,4,0
,,Jasmine tea,8,0
,,Mallow Blue tea,0c,0
,,Lavender tea,10,0
2fe2 Donburi,The Menu,Tofu,4,0
,,Eel,8,0
,,Salmon roe,0c,0
2fe3 Simple Panel,The Border Color,Black,4,0
,,Brown,8,0
,,Dark brown,0c,0
,,Green,10,0
,,Red,14,0
,,Blue,18,0
,The Fabric,Black,0,1
,,Wood,0,2
,,Navy,0,3
,,Zen,0,4
,,Clothes,0,8
2fe7 Sample Case,The Body Color,White,4,0
,,Red,8,0
2fe8 Counter Table,The Body Color,Zen,4,0
,,Imperial,8,0
,,Marble,0c,0
2fe9 Jewelry Case,The Box Color,White,4,0
,,Yellow,8,0
,,Pink,0c,0
2fea Decoy Duck,The Paint,Female,4,0
,,No paint,8,0
2feb Curry Plate,The Menu,Dal curry,4,0
,,Vegetable korma,8,0
,,Saag murgh,0c,0
2fed Autograph Cards,The Signer,Performer's autograph,0,1
,,Clothes,0,8
2fee Decorative Plate,The Picture Pattern,Butterfly,4,0
,,Bird,8,0
2fef Tile Screen,The Tile Color,Red,4,0
3003 Reception Window,The Body Color,Black,4,0
,,Wood grain,8,0
3004 Warming Buffet,The Menu,Caprese,4,0
,,Fruit,8,0
,,Croquette,0c,0
,,Loaf,10,0
3005 Cupcake,The Menu,Chocolate,4,0
,,Colorful cream,8,0
,,Colorful pop,0c,0
,,Flower,10,0
,,Animal,14,0
3006 Glass Teapot,The Menu,Mint tea,4,0
,,Jasmine tea,8,0
,,Mallow Blue tea,0c,0
,,Lavender tea,10,0
3007 Espresso Machine,The Body Color,Yellow,4,0
,,Green,8,0
,,Sky blue,0c,0
,,Black,10,0
3008 Floor Seat,The Chair Color,Dark Brown,4,0
,,Black,8,0
,The Cushion,Yellow,0,1
,,Green,0,2
,,Blue,0,3
,,Purple,0,4
,,Clothes,0,8
3009 Imperial Pot,The Menu,Fried egg and crab,4,0
,,Fried rice,8,0
,,Sweet and sour,0c,0
,,Chop suey,10,0
300a Console Table,The Body Color,White,4,0
,,Black,8,0
300b Round Pillow,The Body Color,Brown,4,0
,,Green,8,0
,,White,0c,0
,,Black,10,0
300c Hanging Chair,The Basket Color,Red,4,0
,,Brown,8,0
,,Blue,0c,0
,,White,10,0
300d Garden Lantern,The Body Color,White,4,0
,,Blue,8,0
,,Pink,0c,0
300f Scooter,The Body Color,Pink,4,0
,,Blue,8,0
,,Monochrome,0c,0
3010 Round Cushion,The Pattern Color,White,4,0
,,Yellow,8,0
,,Aqua green,0c,0
,,Navy,10,0
,,Brown,14,0
3011 Basket Chair,The Frame,Dark Brown,4,0
,,White,8,0
,,Black,0c,0
,The Cushion,Gray,0,1
,,Brown,0,2
,,Blue,0,3
,,Green,0,4
,,Clothes,0,8
3012 Zen Cushion,The Fabric,Green,0,1
,,Crimson,0,2
,,Yellow,0,3
,,Monotone,0,4
,,Clothes,0,8
3013 Scattered Papers,The Paper,Writing Paper,0,1
,,Drawing Paper,0,2
,,Clothes,0,8
3015 New Nintendo 3DS,The System Color,Black,4,0
,The Cover Plate,Black,0,1
,,Polka Dot,0,2
,,Clothes,0,8
3016 New Nintendo 3DS XL,The System Color,Metallic Black,4,0
3025 Item Box,The Body Color,Red,4,0
3026 Poogie,The Outfit,Pygmalion,4,0
,,Pretty in pink,8,0
3027 Hunter's Hive,The Grade,Rare,4,0
3036 Giant Stew Pot,The Menu,Curry,4,0
,,Tomato soup,8,0
,,Green liquid,0c,0
3037 Carriage,The Body Color,Black,4,0
,,Brown,8,0
,,Pink,0c,0
,,Green,10,0
3038 Teacup Ride,The Body Color,Red,4,0
,,Blue,8,0
,,Monotone,0c,0
3039 Giant Teddy Bear,The Fabric,Pink,4,0
,,Blue,8,0
,,Yellow green,0c,0
,,Black,10,0
,The Outfit,Collared shirt,0,1
,,Fluffy jacket,0,2
,,Clothes,0,8
303a Robot Hero,The Body Color,Blue,4,0
,,White,8,0
,,Black,0c,0
303b Monitor Tower,The Body Color,White,4,0
,The Screen,Virus,0,1
,,Clothes,0,8
303c Tent,The Body Color,Blue,4,0
,,Pink,8,0
,,Red stripes,0c,0
,,Colorful,10,0
303d Propeller Plane,The Body Color,Red,4,0
,,Orange,8,0
,,Green,0c,0
,,Black,10,0
,,White,14,0
,The Symbol,Heart,0,1
,,Clothes,0,8
303e Submarine,The Body Color,Red,4,0
,,Blue,8,0
,,Black,0c,0
303f Luxury Car,The Body Color,White,4,0
,,Silver,8,0
,,Gold,0c,0
3040 Large egg,The Shell,Cracked,4,0
,,Hollow,8,0
3041 Inflatable Resetti,The Expression,Annoyed,4,0
3047 Squid Bumper,The Body Color,Orange,4,0
,,Neon green,8,0
,,Purple,0c,0
,,Blue,10,0
,,Lime green,14,0
,,Blood orange,18,0
,,Soda,1c,0
3048 Inkopolis Chair,The Design Color,Marie's color,4,0
,,Sea color,8,0
,,Mountain color,0c,0
,,Flashy color,10,0
,,Glaring color,14,0
,,Gaudy color,18,0
,,Pop Color,1c,0
3049 Splattershot,The Ink Color,Blue,4,0
,,Lime green,8,0
,,Purple,0c,0
,,Pink,10,0
,,Turquoise,14,0
,,Yellow,18,0
,,Green,1c,0
304a Left Splatfest Sign,The Ink Color,Rock purple,4,0
,,Lemon yellow,8,0
,,Hero red,0c,0
,,Love red,10,0
,,Artsy purple,14,0
,,Mountain red,18,0
,,Callie Pink,1c,0
,The Team,Team Rice,0,1
,,Team Callie,0,2
,,Clothes,0,8
304b Right Splatfest Sign,The Ink Color,Pop green,4,0
,,Milk white,8,0
,,Villain purple,0c,0
,,Money yellow,10,0
,,Science orange,14,0
,,Ocean green,18,0
,,Marie green,1c,0
,The Team,Team Bread,0,1
,,Team Marie,0,2
,,Clothes,0,8
304c Splatoon Spawn Point,The Ink Color,Blue,4,0
,,Lime green,8,0
,,Purple,0c,0
,,Pink,10,0
,,Turquoise,14,0
,,Yellow,18,0
,,Green,1c,0
304d Standing TV,The Body Color,Black,4,0
,,Pink,8,0
,,Sky blue,0c,0
304e Desert Island Map,The Type of Island,Intermediate,4,0
,,Advanced,8,0
304f Frying Pan,The Content,Burnt food,4,0
,,Empty,8,0
3050 Desert Island Table,The Lawn Color,Green,4,0
3051 Desert Island Stool,The Lawn Color,Green,4,0
308c Rupee,The Value,Blue Rupee,4,0
,,Red Rupee,8,0
,,Purple Rupee,0c,0
,,Huge Rupee,10,0
,,Silver Rupee,14,0
3097 Nintendo DSi Bench,The Body Color,Black,4,0
309b Otomon egg,The Type of Egg,Fanged Beast egg,4,0
,,Bird Wyvern egg,8,0
,,Leviathan egg,0c,0
,,Fanged Wyvern egg,10,0
,,Brute Wyvern egg,14,0
,,Herbivore egg,18,0
,,Elder Dragon egg,1c,0
30a2 Fruit Panel Cushion,The Cushion Pattern,Orange,4,0
,,Pear,8,0
,,Banana,0c,0
,,Grape,10,0
,,Peach,14,0
30c7 Shop Mat,The Mat Design,Supermarket,4,0
,,Department store,8,0
30c8 Museum Mat,The Mat Design,Paintings,4,0
,,Fish,8,0
,,Bugs,0c,0
,,Fossils,10,0
